File 1,Class 1,Method 1,File 2,Class 2,Method 2
C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer1forExample.lie,Class_type,fibonacci,C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer3WhileExample.lie,Class_type,dobleFactorial
C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer1forExample.lie,Class_type,fibonacci,C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer4IfExample.lie,Class_type,dobleFactorial
C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer1forExample.lie,Class_type,principal,C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer3WhileExample.lie,Class_type,principal
C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer1forExample.lie,Class_type,principal,C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer4IfExample.lie,Class_type,principal
C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer1WhileExample.lie,Class_type,primosGemelos,C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer2IfExample.lie,Class_type,sumatoria
C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer1WhileExample.lie,Class_type,primosGemelos,C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer3forExample.lie,Class_type,principal
C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer2forExample.lie,Class_type,principal,C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer3forExample.lie,Class_type,principal
C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer2forExample.lie,Class_type,principal,C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer4forExample.lie,Class_type,principal
C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer3forExample.lie,Class_type,principal,C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer3IfExample.lie,Class_type,principal
C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer3forExample.lie,Class_type,principal,C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer4forExample.lie,Class_type,principal
C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer3WhileExample.lie,Class_type,dobleFactorial,C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer4forExample.lie,Class_type,principal
C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer3WhileExample.lie,Class_type,dobleFactorial,C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer4IfExample.lie,Class_type,dobleFactorial
C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer3WhileExample.lie,Class_type,dobleFactorial,C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer4IfExample.lie,Class_type,dobleFactorial
C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer3WhileExample.lie,Class_type,principal,C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer4IfExample.lie,Class_type,principal
C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer4forExample.lie,Class_type,principal,C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer4IfExample.lie,Class_type,dobleFactorial
C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer4forExample.lie,Class_type,principal,C:\Users\ellio\Documents\GitHub\test\testAnalyzerTFG\testCodes\input\Analyzer4WhileExample.lie,Class_type,principal
